Query,Confirmed_Match,WildID_Rank,WildID_Score,MiewID_Rank,MiewID_Similarity
A01_17_01_W_roh_BELLY.jpg,A01_12_01_M_roh_BELLY.jpg,1,0.212594,1.0,0.878886342048645
A01_18_01_W_roh_BELLY.jpg,A01_15_01_W_roh_BELLY.jpg,1,0.004389,1.0,0.6465852856636047
A01_18_03_W_roh_BELLY.jpg,A01_15_07_W_roh_BELLY.jpg,1,0.421057,1.0,0.9154776334762572
A02_03_01_W_roh_BELLY.jpg,A01_15_01_W_roh_BELLY.jpg,1,0.42017,1.0,0.8102442026138306
A02_06_03_M_roh_BELLY.jpg,A01_18_12_M_roh_BELLY.jpg,1,0.042426,1.0,0.7967739105224609
A02_08_05_M_roh_BELLY.jpg,A02_06_04_M_roh_BELLY.jpg,19,2e-06,1.0,0.8068807721138
A04_06_02_M_roh_BELLY.jpg,A01_18_04_M_roh_BELLY.jpg,1,0.067546,1.0,0.8532073497772217
A05_12_03_W_roh_BELLY.jpg,A04_15_05_W_roh_BELLY.jpg,1,0.432903,1.0,0.8516697883605957
A05_18_06_W_roh_BELLY.jpg,A04_15_05_W_roh_BELLY.jpg,1,0.480774,1.0,0.8476463556289673
A05_18_07_W_roh_BELLY.jpg,A04_03_01_W_roh_BELLY.jpg,1,0.119907,1.0,0.8542311191558838
A06_15_02_W_roh_BELLY.jpg,A06_12_01_W_roh_BELLY.jpg,1,0.500001,1.0,0.8873211145401001
A06_15_03_W_roh_BELLY.jpg,A06_14_02_W_roh_BELLY.jpg,1,0.206616,7.0,0.5996345281600952
A06_17_02_W__roh_BELLY.jpg,A06_12_01_W_roh_BELLY.jpg,1,0.062661,1.0,0.8177934288978577
A07_08_03_W_roh_BELLY.jpg,A03_15_04_W_roh_BELLY.jpg,1,0.009004,1.0,0.7372517585754395
A07_08_04_M_roh_BELLY.jpg,A06_03_01_M_roh_BELLY.jpg,17,4e-06,2.0,0.622691810131073
A07_17_03_W_roh_BELLY.jpg,A07_08_04_M_roh_BELLY.jpg,1,0.067163,1.0,0.6820067763328552
A08_06_05_SA_roh_BELLY.jpg,A05_18_04_W_roh_BELLY.jpg,1,0.098044,1.0,0.7721221446990967
A08_15_03_W_roh_BELLY.jpg,A07_09_03_W_roh_BELLY.jpg,2,0.006503,1.0,0.6915763020515442
A08_15_14_W_roh_BELLY.jpg,A08_12_13_W_roh_BELLY.jpg,1,0.182663,1.0,0.8193700313568115
A08_18_02_W_roh_BELLY.jpg,A08_15_06_W_roh_BELLY.jpg,1,0.316457,1.0,0.7226018309593201
A08_18_08_M_roh_BELLY.jpg,A04_15_06_M_roh_BELLY.jpg,1,0.037003,1.0,0.6845317482948303
